tag,implies
feathered_wings,feathers
jeans,pants
palm_tree,tree
flower,plant
armchair,chair
maid_uniform,uniform
braided_hair,hair
five_nights_at_freddy's_2,five_nights_at_freddy's
exposed_breasts,breasts
chameleon,lizard
furred_dragon,fur
male/male,male
male/female,female
male/female,male
intersex/male,male
intersex/male,intersex
fully_sheathed,sheath
cheek_tuft,tuft
navel_piercing,navel
gagged,gag
hoodie,topwear
dress,clothing
footwear,clothing
gloves,handwear
sweater,topwear
shoes,footwear
frilly_hairband,hairband
penis_lick,sex
penis_lick,oral
penis_lick,licking
hyper_balls,huge_balls
huge_balls,big_balls
big_belly,belly
autopenetration,penetration
cookie,food
sandwich_position,sex
ben_10,cartoon_network
autofootjob,foot_play
smaller_male,male
larger_male,male
larger_female,female
fully_clothed,clothed
partially_clothed,clothed
hands_tied,bound
legs_tied,bound
cum_on_ground,cum
sabertooth_(anatomy),fangs
sandwich_position,group_sex
blue_feathers,feathers
melee_weapon,weapon
sword,melee_weapon
covering_crotch,covering
tan_line,suntan
ball_fondling,fondling
digital_painting_(artwork),digital_media_(artwork)
digital_drawing_(artwork),digital_media_(artwork)
animal_humanoid,humanoid
human_on_humanoid,human
human_on_humanoid,humanoid
naga,snake
the_great_mouse_detective,disney
cocktail,alcohol
hand_on_breast,breasts
black_background,simple_background
blue_background,simple_background
grey_background,simple_background
pink_background,simple_background
white_background,simple_background
gradient_background,simple_background
two_tone_scales,multicolored_scales
eastern_dragon,dragon
shirt_lift,clothing_lift
featureless_breasts,breasts
cleavage,breasts
penis_outline,bulge
ineffective_censorship,censored
smaller_male,size_difference
larger_male,size_difference
fluffy_tail,fluffy
thick_eyebrows,eyebrows
muscular_female,muscular
muscular_male,muscular
muscular_male,male
red_scales,scales
black_scales,scales
green_scales,scales
orange_scales,scales
white_scales,scales
yellow_scales,scales
tan_scales,scales
multicolored_scales,scales
breast_grab,hand_on_breast
grin,smile
skinsuit,tight_clothing
puffy_areola,areola
spiked_collar,spikes
undressing,clothing
bedroom_eyes,seductive
vaginal_masturbation,masturbation
uniform,clothing
penile_masturbation,masturbation
berry,fruit
watermelon,melon
melon,fruit
3d_(artwork),digital_media_(artwork)
pink_anus,anus
dildo_sitting,penetration
oral_penetration,penetration
oral_penetration,oral
thick_lips,lips
fruit,food
necklace,jewelry
holding_breast,breasts
suit,clothing
rainbow_tail,multicolored_tail
holding_glass,holding_object
holding_leash,holding_object
holding_leash,leash
crop_top,shirt
from_behind_position,sex
white_border,border
bust_portrait,portrait
canine_penis,animal_penis
equine_penis,animal_penis
animal_penis,animal_genitalia
animal_penis,penis
sheath,animal_genitalia
jolteon,eeveelution
topless,clothed
bottomless,clothed
shirt_lift,clothed
tree,plant
penectomy,genital_mutilation
half-length_portrait,portrait
three-quarter_portrait,portrait
black_claws,claws
purple_claws,claws
humanoid_pussy,pussy
male_penetrating,male
toe_claws,toes
cutie_mark,my_little_pony
story_in_description,story
bed_sheet,bedding
2_tails,multi_tail
stockings,leggings
male_penetrating,penetration
business_suit,suit
helmet,armor
source_filmmaker,3d_(artwork)
western_dragon,scalie
musclegut,belly
anal_knotting,knotting
vaginal_masturbation,vaginal
earth_pony,my_little_pony
presenting_anus,presenting_hindquarters
penis_lick,penis
spiked_bracelet,bracelet
pink_tongue,tongue
corset,lingerie
handjob,sex
holding_breast,hand_on_breast
spiked_bracelet,spikes
open_smile,open_mouth
basil_(disney),the_great_mouse_detective
nipple_pinch,pinch
hyper_cum,excessive_cum
long_claws,claws
overweight_female,overweight
overweight_male,overweight
open_smile,smile
assisted_exposure,exposed
soft_shading,shaded
overweight_male,male
overweight_female,female
overweight_intersex,intersex
overweight_intersex,overweight
ear_piercing,jewelry
whisker_markings,markings
huge_penis,big_penis
ridged_horn,horn
cumshot,ejaculation
pussy_ejaculation,ejaculation
5_fingers,fingers
fingering_self,fingering
pussy_juice_on_leg,vaginal_fluids
horizontal_cloaca,cloaca
orgasm_face,looking_pleasured
humanoid_feet,feet
shota,male
white_balls,balls
blue_balls,balls
anthro_on_anthro,anthro
flaming_tail,fire
bowman's_wolf,red_wolf
detailed_background,detailed
red_border,border
grass,plant
martini,cocktail
sofa,furniture
human_focus,human
eye_contact,looking_at_another
pokemorph,humanoid
musclegut,muscular
crotch_tuft,tuft
x_anus,anus
fingering_partner,fingering
slit_play,genital_slit
on_towel,towel
fingering_self,masturbation
midriff,clothed
soles,feet
sunglasses_on_head,eyewear_on_head
sunglasses_on_head,sunglasses
fangs,teeth
knotting,penetration
sweat,wet
head_tuft,tuft
holding_clothing,clothing
midnight_lycanroc,lycanroc
tight_clothing,clothed
wing_claws,claws
dildo_in_ass,anal_penetration
dildo_in_ass,dildo
armor,clothing
bottomless,partially_clothed
male_penetrating,sex
blep,tongue_out
dildo_sitting,masturbation
clothing_lift,clothed
mastectomy_scar,scar
male_on_feral,male
raccoon,procyonid
hat,headwear
dragon,scalie
cum_in_slit,cum
cum_in_slit,genital_slit
anal_knotting,anal_penetration
deep_rimming,anal_penetration
petplay,bdsm
slit_penetration,slit_play
slit_penetration,penetration
frottage,penis
tuft,fur
3_fingers,fingers
4_fingers,fingers
fingering,penetration
bound,restrained
breast_shot,breasts
midriff,clothing
toes,feet
procyonid,mammal
pokemon_(species),pokemon
female_focus,female
necktie,clothing
warcraft,blizzard_entertainment
male_penetrated,male
cum_in_pussy,pussy
proboscidean,mammal
giraffid,mammal
handjob,penis_grab
detached_sheath,sheath
dirty_talk,dialogue
rape,sex
eyewear_on_head,eyewear
inner_ear_fluff,tuft
knotting,knot
panties,bottomwear
cum_in_slit,cum_inside
nude,featureless_crotch
giraffe,giraffid
eulipotyphlan,mammal
hedgehog,eulipotyphlan
public_nudity,nude
red_panda,ailurid
ailurid,mammal
fish_humanoid,fish
marine_humanoid,animal_humanoid
marine_humanoid,marine
fish_humanoid,marine_humanoid
lion,pantherine
tiger,pantherine
leopard,pantherine
autofisting,fisting
autofisting,masturbation
larger_anthro,anthro
felis,feline
domestic_cat,felis
feline,felid
felid,mammal
pantherine,felid
canine,canid
ponytail,hair
remilia_scarlet,touhou
canid,mammal
canis,canine
wolf,canis
jackal,canis
tanuki,raccoon_dog
raccoon_dog,canine
werecanid,were
werecanid,canid
ear_ring,ear_piercing
bovine,bovid
bovid,mammal
husky,nordic_sled_dog
domestic_dog,canis
naga,uniped
elephant,elephantid
elephantid,proboscidean
equine,equid
unicorn,equid
winged_unicorn,equid
pegasus,equine
equid,mammal
musteline,mustelid
badger,musteline
purple_eyeshadow,eyeshadow
faceless_male,faceless_character
intersex_penetrated,penetration
male_penetrated,penetration
female_penetrated,penetration
female_penetrated,female
intersex_penetrated,intersex
anthro_penetrating_anthro,anthro_on_anthro
anthro_penetrating,anthro
anthro_penetrating,penetration
human_on_humanoid,interspecies
anthro_penetrated,penetration
anthro_penetrated,anthro
phasianid,galliform
galliform,bird
chicken,gallus_(genus)
male_on_feral,feral
gallus_(genus),phasianid
anthro_penetrating_anthro,anthro_penetrated
anthro_penetrating_anthro,anthro_penetrating
pawpads,paws
crash_bandicoot_(series),activision
speech_bubble,dialogue
dialogue,text
black_clothing,clothing
blue_clothing,clothing
pink_clothing,clothing
purple_clothing,clothing
red_clothing,clothing
white_clothing,clothing
yellow_clothing,clothing
giraffe_print,animal_print
countershade_feet,countershading
seashell,shell
spitz,domestic_dog
nordic_sled_dog,spitz
leporid,lagomorph
wet_body,wet
east_asian_mythology,asian_mythology
asian_mythology,mythology
european_mythology,mythology
thumbs_up,gesture
saliva_on_penis,saliva
hindpaw,feet
red_topwear,red_clothing
red_bottomwear,red_clothing
red_swimwear,red_clothing
yellow_bottomwear,yellow_clothing
blue_topwear,blue_clothing
blue_bottomwear,blue_clothing
purple_bottomwear,purple_clothing
white_topwear,white_clothing
red_topwear,topwear
blue_topwear,topwear
white_topwear,topwear
white_shirt,shirt
topwear,clothing
bottomwear,clothing
swimwear,clothing
headwear,clothing
red_bottomwear,bottomwear
yellow_bottomwear,bottomwear
blue_bottomwear,bottomwear
purple_bottomwear,bottomwear
helmet,headgear
headwear,headgear
bonnet,headwear
fellatio,penile
penile_masturbation,penile
handjob,penile
penis_worship,penile
penis_lick,penile
penile_penetration,penile
penile_penetration,penetration
glistening_eyes,glistening
ossicone,horn
murine,murid
murid,rodent
mouse,murine
two_tone_fur,two_tone_body
self_lick,licking
footwear_only,mostly_nude
footwear_only,footwear
shoes_only,footwear_only
shoes_only,shoes
collar_only,collar
dipstick_ears,multicolored_ears
red_swimwear,swimwear
white_shirt,white_topwear
purple_headwear,headwear
pink_headwear,headwear
pink_headwear,pink_clothing
purple_headwear,purple_clothing
blue_shorts,blue_bottomwear
blue_shorts,shorts
purple_skirt,purple_bottomwear
purple_shorts,purple_bottomwear
purple_skirt,skirt
purple_shorts,shorts
red_skirt,red_bottomwear
red_skirt,skirt
yellow_skirt,yellow_bottomwear
yellow_skirt,skirt
ftm_crossgender,crossgender
submissive_female,female
fruit,plant
genital_mutilation,genital_torture
cock_and_ball_torture,genital_torture
blue_mane,mane
eastern_dragon,east_asian_mythology
curling_toes,toes
larger_anthro,size_difference
smaller_anthro,size_difference
smaller_anthro,anthro
black_collar,collar
blindfold,eyewear
denim_clothing,clothing
denim_clothing,denim
robot_humanoid,humanoid
robot_humanoid,robot
pegasus,wings
membranous_wings,membrane_(anatomy)
frilly_accessory,frilly
hair_accessory,accessory
hairband,hair_accessory
hair_ring,hair_accessory
frilly_hairband,frilly_accessory
frilly_accessory,accessory
costume,clothing
genital_fluids,bodily_fluids
saliva,bodily_fluids
cum,genital_fluids
vaginal_fluids,genital_fluids
tears,bodily_fluids
lactating,bodily_fluids
handwear,clothing
precum,genital_fluids
sweat,bodily_fluids
urine,genital_fluids
gynomorph,intersex
andromorph,intersex
gynomorph/male,gynomorph
gynomorph/male,male
gynomorph/male,intersex/male
overweight_gynomorph,overweight_intersex
overweight_gynomorph,gynomorph
andromorph/male,andromorph
andromorph/male,intersex/male
andromorph/male,male
andromorph_penetrated,andromorph
andromorph_penetrated,intersex_penetrated
drunk,substance_intoxication
licking_lips,licking
tojo_the_thief,conditional_dnp
thick_eyelashes,eyelashes
submissive_female,submissive
male_penetrating_andromorph,andromorph_penetrated
male_penetrating_female,female_penetrated
male_penetrating_female,male/female
male_penetrating_male,male_penetrated
male_penetrating_andromorph,male_penetrating
male_penetrating_female,male_penetrating
male_penetrating_intersex,male_penetrating
male_penetrating_male,male_penetrating
male_penetrating_andromorph,andromorph/male
male_penetrating_intersex,intersex/male
male_penetrating_male,male/male
male_penetrating_andromorph,male_penetrating_intersex
male_penetrating_intersex,intersex_penetrated
nipple_pinch,nipple_play
red_fur,red_body
red_scales,red_body
orange_fur,orange_body
orange_scales,orange_body
yellow_fur,yellow_body
yellow_scales,yellow_body
green_scales,green_body
blue_feathers,blue_body
blue_fur,blue_body
blue_skin,blue_body
brown_fur,brown_body
black_fur,black_body
black_scales,black_body
white_fur,white_body
white_scales,white_body
white_skin,white_body
grey_fur,grey_body
tan_scales,tan_body
two_tone_body,multicolored_body
multicolored_fur,multicolored_body
multicolored_scales,multicolored_body
two_tone_scales,two_tone_body
black_leash,leash
abstract_background,simple_background
chair,furniture
desk,furniture
bed,furniture
table,furniture
back_tuft,tuft
leg_tuft,tuft
cheek_tuft,facial_tuft
knee_tuft,leg_tuft
scarf,clothing
kineceleran,alien
kineceleran,ben_10
nipple_play,nipples
my_little_pony,hasbro
amputee,disability
spread_toes,toes
half-closed_eyes,narrowed_eyes
penis,genitals
pussy,genitals
balls,genitals
animal_genitalia,genitals
hyper_penis,hyper_genitalia
hyper_balls,hyper_genitalia
hyper_genitalia,hyper
hyper_genitalia,genitals
penile_spines,penis
penis_outline,genital_outline
fellatio,oral_penetration
corset,topwear
temtem,crema_(company)
bowman's_wolf,canid
alien_humanoid,alien
alien_humanoid,humanoid
until_they_like_it,rape
humanoid_penis,humanoid_genitalia
humanoid_pussy,humanoid_genitalia
strapless_clothing,clothing
strapless_dress,strapless_clothing
strapless_dress,dress
swimming_trunks,bottomwear
tail_armor,armor
tail_armor,furgonomics
foot_play,foot_fetish
nipple_play,nipple_fetish
balls,humanoid_genitalia
zoological_gardens,vivarium
wizards_of_the_coast,hasbro
dungeons_and_dragons,wizards_of_the_coast
condom,sexual_barrier_device
my_little_pony,hasbro
young,feral
finger_claws,claws
finger_claws,fingers
shirt_lift,partially_clothed
inside,detailed_background
anal_fisting,anal_penetration
holding_breast,hand_on_breast
unicorn,equine
looking_back_at_viewer,looking_back
looking_back_at_viewer,looking_at_viewer
lactating,milk
censor_bar,censored
white_pupils,pupils
slit_pupils,pupils
reverse_cowgirl_position,on_bottom
muscular_anthro,muscular
precum_on_penis,precum
precum_on_penis,penis
muscular_anthro,anthro
muscular_humanoid,muscular
muscular_humanoid,humanoid
overweight_anthro,overweight
overweight_anthro,anthro
looking_through_legs,looking_through
lycanroc,canine
forced_rimming,forced
forced_rimming,rimming
pussy_juice_on_hand,vaginal_fluids
spikes_(anatomy),spikes
facial_spikes,spikes_(anatomy)
penectomy,cock_and_ball_torture
penis_in_pussy,vaginal_penetration
penis_in_pussy,penile_penetration
sonic_the_hedgehog_(series),sega
no_nut_november,meme
dildo_vibrator,dildo
dildo_vibrator,vibrator
vibrator_in_ass,sex_toy_in_ass
vibrator_in_ass,vibrator
dildo_in_pussy,sex_toy_in_pussy
dildo_in_ass,sex_toy_in_ass
genital_expansion,expansion
naga,draconcopode
draconcopode,serpentine
draconcopode,apode
socks,footwear
censor_bar,censored
chained,chain
hand_on_penis,penis
saliva_on_penis,penis
throbbing_penis,penis
red_ball_gag,ball_gag
jeans,denim_clothing
apode,legless
countershade_feet,feet
tail_anus,anus
mostly_nude,clothed
bedding_background,bedding
ftm_crossgender,male
sweaty_arms,sweat
sweaty_butt,sweat
sweaty_butt,butt
sweaty_legs,sweat
sweaty_tail,sweat
watermelon_slice,watermelon
foot_focus,feet
snake,serpentine
holding_clothing,holding_object
holding_swimwear,holding_clothing
holding_swimwear,swimwear
pink_outline,outline
dark_fur,dark_body
peeing,urine
pillow_humping,pillow
pillow_humping,masturbation
pillow_humping,grinding
mostly_nude,clothed
penile,penis
panties,lingerie
nipples,areola
penis_in_ass,anal_penetration
winged_unicorn,unicorn
barefoot,feet
winged_unicorn,equine
winged_unicorn,equine
beach_towel,towel
public_nudity,public
sitting_on_bed,sitting
sitting_on_bed,on_bed
missionary_position,from_front_position
peeing,urine
submissive_anthro,anthro
trio,group
smiling_at_viewer,looking_at_viewer
smiling_at_viewer,smile
penis_in_pussy,penis
penis_in_ass,penile_penetration
pink_knot,knot
five_nights_at_freddy's,scottgames
sex_toy_insertion,sex_toy
dildo_insertion,dildo
dildo_insertion,sex_toy_insertion
dildo_in_pussy,dildo_insertion
dildo_in_ass,dildo_insertion
sex_toy_in_ass,sex_toy_insertion
sex_toy_in_pussy,sex_toy_insertion
dominant_anthro,anthro
dominant_anthro,dominant
dominant_male,male
dominant_male,dominant
submissive_anthro,submissive
penis_outline,detailed_bulge
musclegut,big_belly
urine_stream,urine
drunk_bubble,bubble
drunk_bubble,drunk
censor_bar,censored
breast_play,breasts
detailed_bulge,bulge
smiling_at_viewer,looking_at_viewer
sonic_the_hedgehog_(series),sega
collar_only,nude
snake,serpentine
humanoid_feet,plantigrade
kneeling_oral_position,kneeling
sex_toy_in_ass,anal_penetration
cumshot,orgasm
ejaculation,orgasm
ink_bottle,inkwell
ink_bottle,bottle
fingering_partner,sex
desk,table
dipstick_tail,tail_markings
tailwag,tail_motion
foreskin,penis
cup,container
drinking_glass,glass_cup
glass_container,glass
glass_container,container
glass_cup,glass_container
glass_cup,cup
wine_glass,drinking_glass
leashed_collar,leash
mythological_creature,mythology
cumshot,orgasm
eating_food,eating
colored_sketch,sketch
vaginal,pussy
penile,penis
thermometer,scientific_instrument
cuff_(restraint),restraints
ankle_cuffs,cuff_(restraint)
wrist_cuffs,cuff_(restraint)
bedroom,inside
chained,bound
sitting_on_chair,sitting
sitting_on_chair,chair
leaking_cum,cum
dipstick_tail,multicolored_tail
penis,penis_in_pussy
mostly_nude,clothed
sitting_on_chair,on_chair
on_chair,chair
sex_toy_in_ass,object_in_ass
fisting,penetration
cosplay,costume
drunk,urine
florence_ambrose,freefall_(webcomic)
bowman's_wolf,freefall_(webcomic)
red_speedo,speedo
red_speedo,red_swimwear
kobold,scalie
hybrid,felid
kneeling_oral_position,kneeling
slightly_chubby_female,slightly_chubby
slightly_chubby_female,female
ear_ring,ring_piercing
huge_nipples,nipples
high_heels,footwear
dragonborn_(dnd),dungeons_and_dragons
sex_toy_in_pussy,vaginal_penetration
excessive_cum,excessive_genital_fluids
apple,food
vaginal,pussy
male_penetrating_male,sex
male_penetrating_female,sex
male_penetrating_intersex,sex
anthro_penetrating_anthro,sex
eeveelution,pokemon_(species)
machop,generation_1_pokemon
charmeleon,generation_1_pokemon
jynx,generation_1_pokemon
gyarados,generation_1_pokemon
jolteon,generation_1_pokemon
gabite,generation_4_pokemon
lucario,generation_4_pokemon
feraligatr,generation_2_pokemon
poochyena,generation_3_pokemon
grovyle,generation_3_pokemon
blaziken,generation_3_pokemon
marshtomp,generation_3_pokemon
electrike,generation_3_pokemon
numel,generation_3_pokemon
zoroark,generation_5_pokemon
lycanroc,generation_7_pokemon
generation_1_pokemon,pokemon_(species)
generation_2_pokemon,pokemon_(species)
generation_3_pokemon,pokemon_(species)
generation_4_pokemon,pokemon_(species)
generation_5_pokemon,pokemon_(species)
generation_7_pokemon,pokemon_(species)
penis_in_ass,penis
extreme_size_difference,size_difference
countershading,multicolored_body
non-mammal_navel,navel
my_little_pony,hasbro
sex_toy_insertion,penetration
holding_breast,hand_on_breast
young_male,young
smiling_at_viewer,looking_at_viewer
sitting_on_ground,sitting
stuck,bound
bottle,container
otter,mustelid
autofisting,autopenetration
bear,mammal
censored_penis,censored_genitalia
censored_genitalia,censored
red_(pokemon),pokemon
speedo_only,speedo
speedo_only,topless
raised_tail,tail
tail_markings,tail
multicolored_tail,tail
tail_tuft,tail
multi_tail,tail
fluffy_tail,tail
tail_motion,tail
thick_tail,tail
talking_feral,feral
talking_feral,dialogue
blue_sheath,sheath
white_sheath,sheath
anal_knotting,anal_penetration
black_suit,suit
black_suit,black_clothing
canine_genitalia,animal_genitalia
equine_genitalia,animal_genitalia
canine_penis,canine_genitalia
equine_penis,equine_genitalia
sandwich_position,lucky_pierre
apple,fruit
tail_anus,anus
huge_nipples,big_nipples
flaming_tail,tail
fangs,teeth
vaginal_penetration,sex
foot_focus,foot_fetish
leashed_collar,collar
genital_mutilation,mutilation
pirate_tawna,crash_bandicoot_(series)
foot_fetish,feet
penis_in_slit,penile_penetration
penis_in_slit,slit_penetration
swimwear_theft,clothing_theft
clothing_theft,stealing
swimwear_theft,swimwear
clothing_theft,clothing
penile,penis
penis_in_mouth,oral_penetration
sister_(lore),sibling_(lore)
sisters_(lore),sister_(lore)
musclegut,overweight
humanoid_genitalia,genitals
penis_tip,glans
humanoid_penis,glans
bedroom,bed
kobold,scalie
pokemorph,anthrofied
baldur's_gate_3,baldur's_gate
penectomy,genital_mutilation
penectomy,cock_and_ball_torture
jeans,denim_bottomwear
denim_bottomwear,denim_clothing
denim_bottomwear,bottomwear
wrinkled_feet,feet
curling_toes,feet
toe_claws,toes
phone,electronics
young_anthro,young
young_anthro,anthro
vaginal,pussy
petplay,bdsm
slit_penetration,slit_play
cum_in_slit,cum_inside
erection,penis
wrinkled_feet,wrinkles
wing_claws,claws
wing_claws,wings
frottage,penile
countershading,multicolored_body
breast_shot,breasts
leggings,pants
penis_outline,detailed_bulge
hand_gesture,gesture
thumbs_up,hand_gesture
musclegut,muscular
dragon,mythological_scalie
mythological_scalie,mythological_creature
mythological_scalie,scalie
western_dragon,european_mythology
pegasus,mythological_equine
unicorn,mythological_equine
winged_unicorn,mythological_equine
pegasus,mythological_equine
mythological_equine,mythological_creature
facial_tuft,tuft
smoke_from_mouth,smoke
young_male,young
young_male,male
throbbing_penis,throbbing
licking,tongue
l3-37,star_wars
baldur's_gate,bioware
bioware,electronic_arts
muscular_arms,muscular
cloacal_penis,cloaca
fishnet_clothing,clothing
penis_in_pussy,pussy
pendant,jewelry
talking_feral,dialogue
penile_penetration,penis
dialogue,text
furred_scalie,scalie
furred_dragon,furred_scalie
furred_scalie,fur
dipstick_tail,multicolored_tail
