id	name	description
14547	Butt_shots	
5264	|　_､_(o)_,:　__(o)_,　:::|【原型♂♀注意】_by_suzumaru	"The first part seems to be a continuation of the story from ""Scratching the Itch"": << https://e621.net/pool/show/986 >>. Original image pool: << http://www.pixiv.net/member_illust.php?mode=manga&illust_id=19369754 >>.

Table of contents
Story with Bulbasaur and Gengar: https://e621.net/post/show/583733
Story with Bulbasaur and Scolipede: https://e621.net/post/show/583752"
5271	Wolf_x_Leon	
5444	Kokoro-chan's_First_Time	
5590	In_the_heat_of_the_moment	
5601	きいち_(Kiichi)_-_First	
5772	幕間の漫画	
5874	MLP:_Plumptavia	"By Crispy Chris | ""DA"":http://crispychris.deviantart.com/ | ""FA"":http://www.furaffinity.net/user/nekocrispy/ | ""Tumblr"":http://bluebrushnsfw.tumblr.com/ |

""MLP: Derpy Taste Tester"":https://e621.net/pool/show/4494
""MLP: Hamburger Destroyer "":https://e621.net/pool/show/5292
""MLP: False Sense of Security"":https://e621.net/pool/show/5284
MLP: Plumptavia  <---"
5893	Sheepuppy_-_Unnamed_comic	
5909	The_Okapi_Club	
5923	Sky_Brigid_Rain's_Pool	
5997	Alex_and_Gloria:_The_Meeting_Of_Friends	Okay this was lying around here for a while so I might as well have made a pool of this.
6001	Bonnie's_Dream	
6073	Wonder_Bitch	A set of pictures depicting Krypto and Wonder Woman by Shadman.
6507	I_can_be_a_princess	"by [[shane frost]]

[quote]
A Princess has got to eat. Want to donate? Giving me money helps keep me off the streets and from mugging innocent bystanders, robbing me of precious time needed to work on the pages of all my comics.

""I'll love you forever"":https://www.patreon.com/Shane_Frost
[/quote]

""I Can Be A Princess: XXX Edition"":/posts/4382687 ""(IB)"":https://inkbunny.net/s/823784 ""(FA)"":https://www.furaffinity.net/view/16163319/
""Merry Christmas from ICBAP"":https://www.furaffinity.net/view/18610924/"
6546	Good_Pup	
6549	Becoming_a_Legend_[by_Ivanks]	
6647	Breaking_the_Limit	Image series by Inju Otoko
6653	Myotismon's_Way	
6860	porked	
6864	Vaporepillow	
6931	TMNT_comic_by_Markwulfgar	
6959	Zhane_Pig_Barmaid_Anna	Zhane Pig Barmaid Anna
6974	FannyAji's_Pokémon_Mystery_Dungeon_comics	Pokédan comics made by FannyAji (ふぁに味).
7141	Char_Toto_By_insomniacovrlrd	"First page: http://www.furaffinity.net/view/13986290/

Artist page: http://www.furaffinity.net/user/insomniacovrlrd"
7224	claustro_phobia	
7244	In_the_alley	"By {{backlash91}} | ""FA"":http://www.furaffinity.net/gallery/backlash91/"
7359	Equine_Hijinx	
7374	Undertale:_No_Mercy	
7417	Christmas_Spitroast_by_Tokaido	"Drawn by ""Tokaido"":/user/show/62065, commissioned by ""KnivesRazgriz"":http://www.furaffinity.net/user/knivesrazgriz.

Contains the characters of ""Tokaido"":/user/show/62065, ""KnivesRazgriz"":http://www.furaffinity.net/user/knivesrazgriz, and ""NotMeNotYou"":/user/show/17633"
7496	MLP:_D+	
7718	Today_is_better_than_yesterday_by_WhiteLeo	
7736	Scoutin'_[Furronika]	
7778	Valentine's_Day_Comic_by_theboogie	
7939	Poketoy_Magazine_Covers	
8016	Anyway,_I_Want_to_Have_Sex_With_a_Trap_Elf!	
8074	Heavy_Sleeper	
8140	The_Origins_by_Whiteleo	
8295	MLP:_Patreon_Set_07_-_Pinkie_Pie	"By Stradivarius | ""Tumblr"":http://stradivariusclop.tumblr.com/ |

""MLP: Rhapsody 1.1"":https://e621.net/pool/show/3436
""MLP: Rhapsody 2.1"":https://e621.net/pool/show/3717
""MLP: Rhapsody 3.5"":https://e621.net/pool/show/3878
""MLP: Twilight & The White Potion"":https://e621.net/pool/show/3342
""MLP: Patreon Set 01 - Applejack"":https://e621.net/pool/show/7226
""MLP: Patreon Set 02 - Rainbow Dash"":https://e621.net/pool/show/7228
""MLP: Patreon Set 03 - Princess Celestia"":https://e621.net/pool/show/7385
""MLP: Patreon Set 04 - Sunset Shimmer"":https://e621.net/pool/show/7576
""MLP: Patreon Set 05 - Princess Luna"":https://e621.net/pool/show/7789
""MLP: Patreon Set 06 - Maud Pie"":https://e621.net/pool/show/8066
MLP: Patreon Set 07 - Pinkie Pie <--
""MLP: Patreon Set 08 - Marble Pie"":https://e621.net/pool/show/8528
""MLP: Patreon Set 09 - Princess Cadance"":https://e621.net/pool/show/8796
""MLP: Patreon Set 10 - Starlight Glimmer"":https://e621.net/pool/show/9063
""MLP: Patreon Set 11 - Derpy Hooves"":https://e621.net/pool/show/9308
""MLP: Patreon Set 12 - Cream Heart"":https://e621.net/pool/show/9725"
8345	Magic_Cigar_by_Markwulfgar	
8422	Cheese_n'_Sugar	
8501	Bellwether_Blowjob_by_orca	http://www.pixiv.net/member_illust.php?mode=medium&illust_id=56805273
8671	Stage_Fright	"A new [[Dreamkeepers]] comic by [[bbmbbf]], following [[Lilith Calah|Lilith's]] journey in the pole-dancing business with some lesbian fun with the Indigo twins

Next series: pool #10449"
8855	I.D.E.K.A_Prologue	"Artwork done by Cursedmarked 

http://www.furaffinity.net/view/20148943/
Link to the first page "
8865	Nicole's_Relaxing_Day	Comic series by Scrabble007
8925	D_Minus_(by_Shortwings)	
9036	MLP:_A_Change_of_Heart	Comic by [[Burning-Heart-Brony]]
9113	Pokémon_Breeding_by_Baraking	
9128	zootopia:_swap	
9171	Tail_Maw_Vore_by_Sakamata	Shoulda seen a pool. Didn't see a pool. Making a pool.
9213	Zootopia_Filth_by_EWS_(colored_by_diavololo)	Uncolored: pool #8197
9306	MLP:_Colt_Quest_Chapter_22	"Art by ""ficficponyfic"":/artists/12662

[section=Chapters]
* ""Chapter 1"":/pools/9040
* ""Chapter 2"":/pools/9047
* ""Chapter 3"":/pools/9048
* ""Chapter 4"":/pools/9056
* ""Chapter 5"":/pools/9057
* ""Chapter 6"":/pools/9061
* ""Chapter 7"":/pools/9151
* ""Chapter 8"":/pools/9159
* ""Chapter 9"":/pools/9164
* ""Chapter 10"":/pools/9170
* ""Chapter 11"":/pools/9179
* ""Chapter 12"":/pools/9189
* ""Chapter 13"":/pools/9192
* ""Chapter 14"":/pools/9214
* ""Chapter 15"":/pools/9219
* ""Chapter 16"":/pools/9226
* ""Chapter 17"":/pools/9235
* ""Chapter 18"":/pools/9240
* ""Chapter 19"":/pools/9259
* ""Chapter 20"":/pools/9270
* ""Chapter 21"":/pools/9289
* Chapter 22
* ""Chapter 23"":/pools/9334
* ""Chapter 24"":/pools/9355
[/section]"
9604	Zootopia:_The_Mark	"https://koraru-san.deviantart.com/gallery/60866623/The-Mark-comic

all chapter"
9611	Okitsune-sama_no_Kyun_Kyun_Youkai_Fushouji_Anken_(Tojyo_and_Various)	Released 8/17/2015
9731	Zootopia:_The_Big_Date_(Jack_&_Skye)	
9951	Fist_Bump	A short comic about the best duo. (Taken from original post).
9953	Alone_time_[comic_YCH]	"Muramuri comic 
Pinup commission for WereFox!
3 pages for comic YCH! "
10175	Sweet_Taste_-_Uma-sen_1_[ENG]	
10227	Drago´s_Birthday	
10281	Snivy_Inflation_-_LongLevy	A Snivy sticks a hose in itself to get that nice, full feeling.
10282	MLP:_Nightguard_Duty_by_RuffyYoshi	
10413	MLP:_Clop_for_a_Cause_2_art_pack	"This entire art pack is non-profit, but you can buy full-resolution pics. Every single penny will go to the Toys for Tots Foundation. More information:

http://clopforacause.tumblr.com/post/154869553137/the-clop-for-a-cause-2-art-pack-is-now-live-this"
10475	Zootopia:_What_Does_the_Fox_Say?_(English_-_Colored_by_Pawtsun)	"Drawn and written by {{bear_hand}}
Colored by {{pawtsun}}

h5. Versions:
* ""Black & White (Untranslated)"":/pools/9209
* ""Black & White (Translated)"":/pools/9665
* Colored by pawtsun (Translated)
* ""Colored by seductivesquid (Translated)"":/pools/24063"
10604	Zootopia_Vore	
10749	Pearl,_The_Gift	This is a four picture series, and has a mostly unchanging background and involves two simple characters.
10817	Scar_&_Serene:_Vulpine_Lovers	A three-part series of Serene and Scar sexing it up with Serene ending up pregnant.
10876	Alicia's_Chance_(Preview)	Preview images of Alicia's Chance.
10893	MLP:_A_Cure_For_The_Queen_by_DigitalDomain123	A comic commissioned by Mixermike622
10940	14_feb	
11038	THE_SPICE_OF_LIFE:_The_Great_Outdoors	"The Great Outdoors is a comic by Houkuko
http://www.furaffinity.net/user/houkuko/

with the characters ""kryn"":https://e621.net/post/index/1/kryn and ""rix"":https://e621.net/post/index/1/rix from the comic ""Greener Grasses"":https://e621.net/pool/show/10993
"
11145	I_Still_Have_No_Name_For_This_Short_Zootopia_Yiff_Comic	
11234	Nahdi's_little_Death	
11348	MLP:_A_Gift_For_Dash	
11395	Space_Monkey_by_hattonslayden	"on a planet covered with massive jungles a lone spaceman conveniently loses his space suit. now he must employ the help of one of the planet's lovely inhabitants to find it.....eventually

http://www.lulu.com/shop/hatton-sla.....-23048581.html"
11569	MLP_comic:lovely_pillow	
11613	Dktorzi:_Farun_Party	A small, unfinished R34 Patreon comic.
11679	Gym_Badges	
11736	MLP:_Disciplinary_Action_by_MoorsheadFalling	Brightshine is coming to the end of his probation at Rich Incorporated when his boss, Spoiled Rich, calls him into her office. What will he have to do to stay at the company?
11760	All_Dirtied_Up	"Image set by {{revolverwing}}

All variations: 
https://www.pixiv.net/member_illust.php?mode=medium&illust_id=63115878 (Censored)
http://imgur.com/a/Rci0g (Uncencored)"
11767	MLP:_Return_To_Power	"By Shdingo | ""DA"":http://shdingo.deviantart.com/ | ""IB"":https://inkbunny.net/shdingo | ""Tumblr"":http://shdingo.tumblr.com/ |

""MLP: Disappearing Act"":https://e621.net/pool/show/4456
""MLP: Full Tour"":https://e621.net/pool/show/5299
""MLP: Pinkamena Double Down"":https://e621.net/pool/show/5300
""MLP: Queen Chrysalis & Pinkie Pie Anal Vore"":https://e621.net/pool/show/5301
MLP: Return To Power <---
""MLP: Wingin' It To Fame"":https://e621.net/pool/show/5298"
11792	Desert_Bloom_by_Bagheera	
11818	Hooligan_by_day,_Slut_by_night	
11828	20_Pictures_of_Clove	
11844	Dogs_being_dogs	
11849	The_Inner_Self_Desire	Commission by Belier from FA for Gillpanda
11862	Legendary_Desires:_Lugia_x_Flygon	"blitzdrachin says:

For this month on patreon, instead of doing an animation, i will be working on a M/M comic :3 (16 pages, including cover and synopsis page).

If you are a +$5 supporter on this month you will be getting it (digital) when i finish this comic. (Estimated finish date is around June 20)

https://www.patreon.com/blitzdrachin




This comic will be published here in a lower res 1 month after i finish it and publish it on patreon. Any complain will be blocked.

Also i want to thanks to totodice1 for writing the script of it



If you dont like patreon, you can preoder it here: https://docs.google.com/forms/d/1_m5epMyD7y9w9TeErdeWDEdgfeR8C213lRDSeOxtJ3A"
11963	LRomStar_-_Geist_growth_sequence	
11998	Gengar_seducing_someone	
12009	10,000_by_Komponi	
12155	Zero_Suit_Swimsuit_Malfunction_01_of_03_(Tails'_Breast_Expansion)_by_snao	
12225	Gregg's_Dance	idk if theres a real name but it's not pooled
12245	MLP:_Royal_Zebradom	By Dragk
12262	Sweet_Mother_Sweet_Queen	
12281	Georgia_Reboots	
12500	Lord_Dominator_by_blenderknight	
12575	ミュータントと男の子_/_The_Boy_and_The_Mutant	
12638	sweet_sting	This pool was automatically generated
12859	Sleepover_by_Fiona	"[quote]Tawney is a caring older sister that really wants her sister to have some friends but knows it's hard for her, so she's organizing this sleepover to try and break the ice. After inviting some girls over phone, she also sends some invitations with Penny to school. Being so shy, Penny doesn't really look around the classroom often and while she does know this other girl, she isn't completely sure where she sits. Obviously, she got the wrong desk. But that doesn't seem to bother Dimitri much :3

This is just the prologue to how this little sleepover is coming to be. I hope y'all are gonna enjoy this new comic ""series"".
[/quote]"
12863	Their_first_time_by_LotusGarden	
12872	Kadath_-_My_Nightly_Tutor	
12998	Scavengers_by_Themefinland	
13034	Surprise_Delivery_by_Kinokoningen	"https://e-hentai.org/g/1134397/e03d4de203/

Translated and colored by GBirkin"
13131	Naughty_Thiccole	Patreon comic made publicly available by the author.
13223	Who_is_Birch?	
13263	Mayonaka_no_Tomodachi_[Hoshino_Fuuta]	A lolicon story about a little girl who being raped by her toys.
13266	warmth_in_the_arctic	This pool was automatically generated
13519	Sam_in_Trouble!	
13599	Automaton_Date_Night_-_honeyboyy	
13613	SugarNutz:_Injured_Reserve	
13621	"""Touch""_by_Danandnite"	
13666	Reimena's_Animal_Hair...thing.	
13688	Julie_(Nezumi)	
13736	Flustered_Fun_Time_by_spunkubus	
13890	The_Internship_Vol._2	"Volume 2 of The Internship, by {{Jackaloo}}.

h5. The Internship:
* Volumes:
** ""Volume 1"":/pools/933
** Volume 2: you are here
** ""Volume 3"":/pools/20420
** ""Volume 4"":/pools/32083
* ""Full Series"":/pools/35939
* Side comics:
** ""Summers Gone"":/pools/13092
** ""Falling Flat"":/pools/16422
** ""Winter Blossoms"":/pools/25947
** ""The Gardener"":/pools/29589

"
13956	Woodland_Encounters	
14129	No_Touchy!	Zeraora x ampharos by Tears_of_Soy
14164	Docu's_Forms	A set of images made by [[Doppel]] showing of the different forms of [[docu_(doppel)|Docu]], a character they created. 
14213	Rubi's_Dragon_Breeding	
14234	The_Witch's_Mansion	
14261	Dragon's_Blood_(by_thatweirdguyjosh)	"a commissioned sequence for DarkHman 
lightning's new armor does an interesting trick"
14305	Cute_Tail_Lil'_Mon:_Date_with_a_Fairy	
14770	Hopps_Gone_Wilde	
14999	Amakuchi_Juuichi_set	
15023	Gadget_(Xylas)	
15103	Astray_01	"The world has changed, humans mysteriously disappeared in an instant what animals refer to as the awakening.

They find themselves evolving and changing in many ways to survive in their new world"
15131	Barney_and_Friends_-_by_dr.bug	
15206	karma's_beach_buddy	This pool was automatically generated
15247	MLP:_Two's_a_Party_by_scuzzyfox	
15319	Hang_in_There,_Piko!	A series of four images by SashXx
15328	donut_stop_eating	by prisonsuit-rabbitman
15476	Nancy_e._devil_dump	features the pics with nancy.
15595	ラクガキシリーズ	
15857	PMD_Tales_from_Silverstar-Town	by {{matemi}}
16101	Liquid_Space_-_By_Foxx	Diver becomes a Shark
16156	Good_Morning_by_hauringu	
16372	BLZKN_1_by_clockfrog	
16387	Limebreaker_-_Nilaia's_Elfy_Ride	
16421	In_the_Heat_of_Winter	A male/male comic by [[CaptainZepto]]
16565	Ahri_&_Xayah's_7_Minutes_in_Heaven	
16612	An_Inexperienced_Guilmon_(Colored_version)	"Time to release 1 page per week :3, you can see the HQ version and the newest pages on my patreon
www.patreon.com/blitzdrachin

h5. Versions
* ""Greyscale Version"":/pools/15403
* Colored Version"
16646	Hot_as_Hell_5:_Risky_Business_-_by_Sheela_&_Cyanide	Porn comic series made by Sheela & Cyanide
16668	Renamon_by_Vaquita_Shoujo	
16843	orgy_comic_by_link2004	
16858	Trying_Everything	
16983	Pokedex_by_RW	Another Rule 34 Pokedex.
16986	Fennekin_schoolgirl_uncensored	"https://twitter.com/iru_ibu2/status/659450173492346880
https://twitter.com/iru_ibu2/status/659450199270518784
https://twitter.com/iru_ibu2"
17098	Sunny,_by_tinyfaceart	
17166	Cock_Dogs	What started as a harmless joke on the Pie farm, resulted in a cultural and culinary revolution for the ponies of Equestria. After a few experiments and reports made their way to Princess Celestia, ponies yearned to try this new form of dong shaped delights. Soon, mare meat was in high demand across the land (and in pony's dreams) which led to the establishment of Equestria's breeding program for futa mares that had already donated their bits to somepony's stomach.
17227	Tigress_in_Heat_Page_by_SacrificAbominat	"I'm seeing if I can do comics a bit more frequently. This and the couple of pages I've done so far didn't take too long, 3 to 4 days to complete, so maybe you be seeing comics much more frequently from me in the future.

Master Tigress, Po and Kung Fu Panda belong to Dreamworks.

If you'd like to support me I'd really appreciate it if you would buy me a coffee. I'll be seeing about alternatives to Patreon in the future, since I'm not interested in doing business with them anymore, as well, but for now Ko-fi is all I've got in terms of donations.
Ko-fi Ko-fi https://ko-fi.com/sacrificabominat

Also send me a note if you are interested in commissioning me. My prices are on my profile page, and I'll be setting up prices for Comics in the future as well."
17550	twelve_pages_of_Sonadow	"by {{nowykowski7}}
https://inkbunny.net/submissionsviewall.php?rid=ec9fd59b08&mode=pool&pool_id=56179&page=1&orderby=pool_order&random=no&success="
17607	Teddy_Pleasure	comic created by sl350
17615	It_pays_well	
17648	Father's_Day_2019,_by_Jorge-the-Wolfdog	
17669	Lab_Misconduct	
17917	strange_new_feelings	This pool was automatically generated
18055	Tom_And_Cleo	Features [[Amy Lawrence]] and [[Tom Sawyer]] from the 2000 film, and [[Cleo Catillac]].
18164	Lovely_Climb	
18165	MLP:_Mare_of_Your_Dreams_(silentpassion)	
18193	Snapping_Pics_[Nude_Beach]_-_by_catsudon	"Little dude was just taking public transit to his classes, but little did he know... it was a good day to go to the nude beach 🏖 

h5. Chapters:
* Snapping Pics [Nude Beach]
* ""It's a Good Day to Go to the Nude Beach"":/pools/19414
* ""It's a Good Day to Attend University"":/pools/22486
* ""Hyouza Goes to the Nude Beach Actually"":/pools/39039"
18329	Exodite_&_Graffix_rapes_RD	"was at a new years party with   fishyboner and Exodite dragon
and decided to draw several pics of them raping me and stuff *blushes* >.=.>"
18347	Experiment_Growth_Series_by_maxpany	"A series of [[macro]] [[growth]] drawings by [[maxpany]] involving the ""Mid-Six-Two"" [[Experiment (Lilo and Stitch)|experiments]] ([[Angel (Lilo and Stitch)|Angel]], [[Reuben (Lilo and Stitch)|Reuben]], and [[Stitch (Lilo and Stitch)|Stitch]]) being tested on by a group of scientists, who give the experiments chemical solutions that cause them to grow.

This is meant to be a hypothetical prologue to the ""Experimentember"" series of macro growth drawings of experiments (both canonical and [[fan character|fanon]]) by [[DylBun]] (pool #18358) and [[Tyrnn]] (pool #18359)."
18428	On_the_Road	The old boar picked up the stranger in the middle of the night.
18448	Amy_x_Bandi	
18479	Lil'_Amy_in:_Visiting...	
18832	Shikaro_-_Corruption	
19200	Silver_Soul_-_2019_Christmas_Pinups	"Count down the holidays with us this year, with a new picture each day featuring some of the comic cast, comic affiliates, and friends of the comic!

Some pinups will not be posted to e6, and can be found at the links below:

December 19th: Sir Gallade - https://www.furaffinity.net/view/34282326/

December 22nd: Sergen - http://www.furaffinity.net/view/34317739/

December 23rd: Meagan - http://www.furaffinity.net/view/34331693/

December 24th: Finn - http://www.furaffinity.net/view/34336984/"
19250	Give_Me_a_Paw_Zoohomme	Read each column vertically. 
19263	Off_Duty	Comic series written and drawn by smallsavant
19265	MLP:_A_Happy_Nightmare_Night_by_Syoee_b	
19413	Just_being_guys_(colorized)_by_megawolf77_&_slavedog554	
19447	Sea_food_dinner_-_by_Boxgoat	".
.
h2.This comic contains Vore.

From source:

[quote]Decided to show off my new look to my boyfriend[/quote]"
19555	Haida_is_over_it_-_by_stiliano	
19602	Arcade_Lewds_by_bluecoffeedog	
19605	Kass'_Downtime_-_Part_2	"* ""Part 1"":/pools/14898
* Part 2"
19615	"Sally's_""Hips-On""_Guide_to_birds_and_the_bees"	https://twitter.com/FakeryWay/status/1223406974135623681
19787	Krystal_&_Trish's_Completely_Non-canonical_Super_Rule34_Adventure	
19870	Rabu_Pignite_sketches	
19891	Ghost_Hands	This should be a set not a pool.
20063	Dulcita_The_Coconut_Praliné	First batch of artworks of the character [[Dulcita]] by [[ZnHc]]
20084	2000_followers_commemorative_picture:_Zoroa's_Monster_Skin_(TF)_(by_raaggu)	
20221	Beg_by_son2j	
20334	Julia's_Gut_Buster	Julia accumulates then releases a massive amount of cum.
20353	Presence_Scientific_GmbH_tools	Various fun devices
20413	Comic_for_Fox_XD	
20556	Cream_the_Magical_Girl_vs_the_tentacle_moster	"A GIANT TENTACLE MONSTER APPEARS!
Can Cream the Magical Girl save the day?
"
20564	Secret_in_the_attic_(by_Lunate)	
20579	Terminus_-_Kalnareff	
20593	Silver_Soul_Volume_2_bonus_pages	Full series: pool #11563
20683	Fuck_Tales	
20748	Zookeeper_to_Eleherm	
20959	Cringe_Comic	Comic series that are just random slice of life stuff about my OCs
21024	Dragon_Dating	One of the older stories I posted on my patreon a while back! -Lunate
21230	Midnight_Training	
21246	Kano's_Sheathed_Season	"This is a group of pictures connected by a route story linked at the sources.

This was the finale of a 30 day Sheathed Season (Not nut November challenge) for Kano the Growlithe and Shabu the Vulpix.

There were various journal entries and these images are all part of the orgy that happened at the very end~

the main story for this can be found here: https://www.furaffinity.net/view/34151167/

Each piece also has a short story of their group at the sources given.
"
21328	Happy_End	
21376	Remodelling_(elektr0)	
21536	Mufasa_and_Simba_by_Modem_Redpill	
21558	Commission35_(by_Corin)	
21612	Stellar_x_Sunburst!_by_UniE	
21691	Roz_Ruins.	
21731	Entity	"Comic project drawn by abluedeer with writing by lei-lani.
Originally commissioned by Artica and teckly, also featuring firefoxinc and scarlettv along with some cameo appearances from others sprinkled in."
21957	Sensual_Stripper_Swelling	the Swelling of a Sensual Stripper
21978	ふたなりウマTF_(by_semiitu)	
22009	bohakntara_(by_Naga)	
22325	Type_disadvantage_by_evilymasterful	
22363	I've_been_thinking_the_same_thing_all_day_by_Chromamancer	
22400	Celestial_Bodies:_A_Lycan's_Lunar_Love	"Comic created with artwork by DarkChbiShadow, commissioned by El_Tigre.

The story of a lonely werewolf who loves the moon, and the moon that pays him a vist."
22401	The_Visitor	
22431	Family_Inflation_the_Comic	
22457	Diz's_Bandana	
22479	VDay_Special_-_Wanting_more	
22519	Helltaker_-_Good_Girl	"by {{Vanripper}}

h5. Helltaker Official Comics:
* See [[Helltaker]]"
22595	Five_Fucks_At_Freddy's_Remake	
