assisted_bathing,When one character is [[bathing]] another.
piledriver_position,"thumb #545364 thumb #720519 thumb #3281256

The [b]piledriver position[/b] is a sexual position named after the downward motion of a pile driver device (the wrestling move with same name was coined much later). The position is executed with the bottom partner lying neck down and bottom up with their legs bent over head, while the top partner [[crouching|crouches]] over them and inserts their penis or [[strapon]] straight downwards.

When the bottom character is instead penetrating the top character (as might happen with [[female on top]]), this position becomes the [[amazon position]]. 

A softer position, where the thrusting motion is more horizontal than vertical, and the bottom has more than just shoulders on the ground is the [[anvil_position]].

Source: ""Wikipedia"":http://en.wikipedia.org/wiki/Piledriver_%28sexual%29, posted under the Creative Commons Attribution-ShareAlike License.

[section,expanded=Related tags]

h5. Active partner

* [[bent_legs]]
* [[crouching]] - While this position sometimes involves a standing character, it is much more common to involve crouching due to the penetration angle involved.

h5. Passive partner

* [[bent_legs]]
* [[legs_over_head]]
* [[raised_hips]]
* [[shoulder_stand]]
* [[spread_legs]]

h5. Interactions

* [[grabbing_both_legs]]
** [[grabbing_both_ankles]]
** [[grabbing_both_thighs]]
* [[hands_on_legs]]
** [[hands_on_ankles]]
** [[hands_on_thighs]]
* [[penile_penetration]]
** [[penis_in_ass]]
** [[penis_in_pussy]]

[/section]

h4. Similar positions

* [[anvil_position]] - The penetrating partner is kneeling instead of crouching. The penetrated partner's position is more close to lying on their back.
* [[arch_position]] - The penetrating partner is kneeling instead of crouching. The penetrated partner's position is mostly unchanged.
* [[mating_press]] - A missionary-esque position designed to mimic the piledriver position.
* [[reverse_wheelbarrow_position]] - The penetrating partner is standing instead of crouching.

h4. See also

* [[tag_group:sex_positions]]

* [[amazon position]]
* [[reverse piledriver position]]"
demon,"thumb #1857408 thumb #2206289 thumb #2039683 thumb #2578234

A mythological creature. In the context of this tag, demons are evil hellspawns that tend to have at least one or two of the following traits: either a bestial or [[monster|monstrous]] shape, discolored skin (typically red), horns, claws, wings, or a [[spade tail]]. They typically possess some form of supernatural power(s).

h4. Related tag:
* [[demon_humanoid]] - For when a demon mainly resembles a [[human]] with demonic traits and/or colored skin.
* [[demonic]]"
john_lockwood_kipling,"John Lockwood Kipling, C.I.E. (6 July 1837 – 26 January 1911), was an English art teacher, illustrator and museum curator who spent most of his career in British India. He was the father of the author Rudyard Kipling."
portuguese_audio,A tag given to animations that contain audio in Portuguese.
game_cartridge,"thumb #463208 thumb #314932

A [b]game cartridge[/b] (abbreviated ""cart"") is a data storage medium similar to a flash drive, but requiring a dedicated access port. A cartridge is the Read-Only Memory device holding the game data (and perhaps a few secondary microchips, up to and including a RAM stack), and is slotted into the top of a [[console]]. The device may be designed to not fit into a slot of a different console (a [[Nintendo]] cartridge will not fit into a [[Sega Genesis|Genesis]] slot, for example, nor will a [[NeoGeo]] cart fit into a [[Atari Jaguar|Jaguar]] slot).

Carts were largely phased out in favor of CD-ROM discs, and later DVDs and Blu-ray Discs, for reasons of storage capacity (one CD can hold a hundred games it takes an entire cartridge to store) and cost (a cartridge requires several expensive components to manufacture, leading to games that cost 40-50% more than CD games, which simply require a single piece of plastic). However, cartridges had a loading time measured in microseconds (due to their solid-state construction) and no DRM (as nobody outside the manufacturers had the machinery necessary to write blank carts; nor could a cart be re-purposed — except, perhaps, as a coaster or paperweight—once written).

The [[Game Boy]] series of hand-held consoles never split from carts.

The [[Nintendo Switch]] also uses a modernized form of cartridges (Save-Data or SD cards), due to their fast loading times, while still having games on-par with its contemporaries in terms of both length and graphics.

h4. See also

* [[tag_group:video_games]]

* [[game_console]]
* [[game_controller]]"
charlie_peaches_(raunchyhaunches),"OC owned by RaunchyHaunches
A professional journalist and informal femboy shark, Charlie has a way of getting tangled up in all kinds of sticky, slippy mischief!"
nashiru_(kuusou_banana),"Not the same artist as ""nashiru"":/artist/show/37984"
telescope,"thumb #1106280 

A [b]telescope[/b] is an optical instrument that aids in the observation of remote objects by collecting electromagnetic radiation (such as visible light).

h4. External:

* ""Wikipedia - Telescope"":https://en.wikipedia.org/wiki/Telescope"
crocjob,"thumb #4414121
A [[footjob]] or [[shoejob]] which involves crocs or similar foam-based footwear.

h4.Related Tags:
* [[foot_fetish]]
** [[footjob]]
** [[shoejob]]
* [[crocs]]
"
alexithymia,"Alexithymia is the appropriate word for the characteristics of the person who is unable to depict his/her emotions. Alexithymics can feel emotions, although not a wide range, but they do not know how to to verbalize them. Usually, they are unaware that certain sensations are actually emotions."
zalgo_edit,"An [[edit]] of a post where its text has been masked (usually called [i]Zalgo text[/i]) and/or its setting and subjects have been ""corrupted"", for example with blood dripping down walls, characters' eyes scribbled out, unexplained shadowy figures, et cetera. This is in reference to the [i][[zalgo|Zalgo]][/i] creepypasta, which used similar effects."
ash_(disambiguation),"There are several characters and artists named Ash. Use one of the following tags instead, or create a new one and update the list below.

* For characters, use the `ash_(owner)` format when creating a new tag.

h4.Artists:
* [[ash_(artist)]]
* [[ash_bearfox]]
* [[ash_(pixiv53802)]]

h4.Characters:
* [[ash_(acewolfy)]]
* [[ash_(acidapluvia)]]
* [[ash_(adventure_time)]]
* [[ash_(ashilia)]]
* [[ash_(ashkelling)]]
* [[ash_(ashkor_erebos)]]
* [[ash_(ashtailfox)]]
* [[ash_(ashu_kamitsune)]]
* [[ash_(ashura43)]]
* [[ash_(autumnlewds)]]
* [[ash_brooks]]
* [[ash_bunny_(skeleion)]]
* [[ash_canaan]]
* [[ash_(captain_nikko)]]
* [[ash_carso]]
* [[ash_(cashmurrcat)]]
* [[ash_(chacomics)]]
* [[ash_(character)]]
* [[ash_(chinchy)]]
* [[ash_cinder]]
* [[ash_(cloakedthief)]]
* [[ash_crimson]]
* [[ash_(cyantian)]]
* [[ash_darkfire]]
* [[ash_davis]]
* [[ash_(deadlyvelociraptor)]]
* [[ash_(destiny_bronson)]]
* [[ash_(dj50)]]
* [[ash_(dogs_of_mars)]]
* [[ash_dragonfire]]
* [[ash_draumer]]
* [[ash_(fantastic_mr._fox)]]
* [[ash_fox_(skeleion)]]
* [[ash_(frenky_hw)]]
* [[ash_(fsmaverick)]]
* [[ash_(furrmurrix)]]
* [[ash_(g-h-)]]
* [[ash_greninja]]
* [[ash_greytree]]
* [[ash_harden]]
* [[ash_(higgz)]]
* [[ash_hunter]]
* [[ash_jackalton_(skaii-flow)]]
* [[ash_(jaskenator7000)]]
* [[ash_ketchum]]
* [[ash_(kiriyama1084)]]
* [[ash_kitt]]
* [[ash_(kokoro-doll)]]
* [[ash_(latchkey_kingdom)]]
* [[ash_(metal_fox)]]
* [[ash_metcalf]]
* [[ash_mongoose]]
* [[ash_(peritian)]]
* [[ash_(phurie)]]
* [[ash_(poethewondercat)]]
* [[ash_prime_(warframe)]]
* [[ash_pyralis]]
* [[ash_(rainbow_six)]]
* [[ash_reeves]]
* [[ash_(ritts)]]
* [[ash_(rksparkster)]]
* [[ash_selere]]
* [[ash_(silverfur4216)]]
* [[ash_(sing)]]
* [[ash_skyfall]]
* [[ash_starwolf]]
* [[ash_tail_fox_(character)]]
* [[ash_(the_end_is_nigh)]]
* [[ash_the_ninetails]]
* [[ash_(theredhare)]]
* [[ash_the_wizard]]
* [[ash_the_yeenwolf]]
* [[ash_(umbry_sky)]]
* [[ash_vega]]
* [[ash_(vic34677)]]
* [[ash_(warframe)]]
* [[ash_weststar]]
* [[ash_wilcox]]
* [[ash_williams]]
* [[ash_(wishvevelyn)]]
* [[ash_(yeahbeezii)]]
* [[ash_(zarya3d)]]"
penis_shrinking,"Tagged when a [[penis]] is shrinking in size, usually quickly and beyond what is biologically possible. This tag is sometimes affiliated with [[gender transformation]]. A form of [[shrinking genitalia]] and [[shrinking]].

This effect is not the same as a penis becoming flaccid, but rather a reduction of the maximum size of the penis in both the [[flaccid]] and [[erection|erect]] states. In some cases, the penis can become small enough to retract into the body and disappear.

h4. Not to be confused with:
* [[retracted penis]], when a penis retracts closer to the body either due to the [[cold]], an emotional/mental/physical state (e.g. [[fear]]), or some other reason within the realm of what is biologically possible.
* A penis [[becoming flaccid]].

h4. Related tags:
* [[sequence]]
* [[transformation]]
** [[gender_transformation]]
* [[penis_expansion]] for the opposite case where an existing penis becomes bigger.
* [[penis_growth]] for the opposite case where an entirely new penis forms."
earl_polar,"Earl Wolf's Fursona and Character.

A timber wolf with some fox somewhere in the family line. He's often depicted in unfortunate, embarrassing and humiliating scenarios, such as being at the receiving end of a wedgie or a fart.

Link to his Furrafinity Account :
https://www.furaffinity.net/user/earlwolf"
charlene_sinclair,"https://www.deviantart.com/tafuri42/art/Charlene-Sinclair-work-418172807

she is the 12 year old girl in [[Dinosaurs (series)]]"
azon_azimuth,"Azon Azimuth is an original character created by IkeFanboy64. He is a feminine [[dragon_humanoid]] with tanned skin, long black_hair, blue eyes/tongue, and a black penis. His wardrobe typically consists of a beanie, button-up flannel shirt, jeans, sneakers, and black fingerless gloves. He also has dragon ears and his arms and legs transition from human to dragon."
heiken,Feral horse character who belongs to https://www.furaffinity.net/user/mcfan/
foxy_(helluva_boss),How do I set tag tho character?
joeythetimelord,"This is a fursona and has two different versions.

Owner: https://www.furaffinity.net/user/joeythetimelord/

Refsheet (new version): https://www.furaffinity.net/view/24127388/
Refsheet (old version): https://www.furaffinity.net/view/20742297/"
sfw,"Pictures that are safe for work. In other words, pictures without any content people would find to be inappropriate.

This tag is invalid since it's easily served by the Safe rating on posts. If you would like to search for safe-rated images, search the {{rating:safe}} metatag or use our SFW domain ""e926.net"":https://e926.net."
uatli,formely fleshtotem 
atunacake,"Commissions are open!! Just message on twitter, or Discord (Tea <3#1091)"
brightwing,Brightwing is a fairy dragon from Warcraft.
a_channel,"A Channel (Aチャンネル Ē Channeru?), is a Japanese four-panel comic strip by bb Kuroda. It was first serialized in the seinen manga magazine Manga Time Kirara Carat on December, 2008, published by Houbunsha. A prequel manga series, also by Kuroda, launched in Manga Time Kirara Carino from January 2012. An anime adaptation by Studio Gokumi aired in Japan between April 8, 2011 and June 24, 2011. An original video animation, A Channel +smile, was released on March 21, 2012."
blackhorn,"The inky familiar of [[Quill_(mewgle)]].
Actual spelling is Bläckhorn."
dakota_(dakotalesmercy),"""Her ref sheet"":https://www.furaffinity.net/view/32444344/ "
lyra_(sheep_and_wolves),"https://hero.fandom.com/wiki/Lyra_(Sheep_%26_Wolves)

[b]Lyra[/b] is a third protagonist in the Russian animation film, [[Sheep and Wolves]]. She is a good-natured and naïve young ewe and she is troublemaker [[shia (sheep and wolves)|Shia]]’s older sister. She tries to be strict and authoritative, but Shia constantly lies to her and misbehaves. She is kind, understanding, pleasant and all-around good.

The clumsy ram [[moz_(sheep_and_wolves)|Moz]] is madly and secretly in love with her, but he’s unable to express his feelings; to him, she is perfect and completely unattainable. According to him, she smells of cinnamon and her wool is like silk!

Lyra runs a small beauty salon at her house, where all the village fashionists come to have their wool styled according to the latest trends. She’s the one designated to care for the mysterious ram who has been found unconscious near the village.

[section,expanded=Wikipedia]
From source: https://en.wikipedia.org/wiki/Sheep_and_Wolves#The_sheep

""Katia Iowa"":https://en.wikipedia.org/wiki/Ekaterina_Ivanchikova (Russian) and ""China Anne McClain"":https://en.wikipedia.org/wiki/China_Anne_McClain (English dub) as Lyra, a ewe with red curly hair who runs a hair salon.
Iowa and McClain also sang the film's theme song ""Raised High."""
ashesdrawn,"Commissioning information: [i]See Deviantart or Furaffinity pages[/i]

* ""Patreon"":https://www.patreon.com/AshesDrawn
""Deviantart"":http://ashesdrawn.deviantart.com/
""Furaffinity"":http://www.furaffinity.net/user/darknessprotection/
""Art Station"":https://www.artstation.com/artist/shadowsdraw
""Facebook"":https://www.facebook.com/RShadowDraws/
""Youtube"":https://www.youtube.com/channel/UCvVcqlu35H_DrPW98tiyA2A
""Curioos"":https://www.curioos.com/ShadowDraws
""Picarto"":https://picarto.tv/RestrictedArt"
nutty_(htf),"thumb #1270500

thumb #1270609

Nutty is one of the main characters of [[Happy Tree Friends]].

Nutty is a light green squirrel with a yellow diamond-shaped marking on his head and a large curled-up tail that moves when he is excited. Nutty has an addiction for candy or anything that is sugary. He has a big swirly lollipop, candy cane, small all-day sucker, and a candy apple stuck to his fur. It is apparent that his googly eye is an amblyopia, or lazy eye, however, he seems to be able to control it, usually whenever he looks at an object intently. As a result of his huge sugar intake, Nutty is often hyperactive and jittery, and giggles more than he talks.

h4. Happy Tree Friends characters:

* [[Cub_(htf)]]
* [[Cuddles_(htf)]]
* [[Disco_Bear_(htf)]]
* [[Flaky_(htf)]]
* [[Flippy_(htf)]]
* [[Giggles_(htf)]]
* [[Handy_(htf)]]
* [[Lammy_(htf)]]
* [[Lifty_(htf)]]
* [[Lumpy_(htf)]]
* [[Mime_(htf)]]
* [[Mr._Pickels_(htf)]]
* Nutty_(htf)
* [[Petunia_(htf)]]
* [[Pop_(htf)]]
* [[Russell_(htf)]]
* [[Shifty_(htf)]]
* [[Sniffles_(htf)]]
* [[Splendid_(htf)]]
* [[The_mole_(htf)]]
* [[Toothy_(htf)]]"
dominant_maleherm,"Posts featuring a [[maleherm]] character acting as the one dominating within a [[dominant|domination]] scenario.

Note: This is not the same as being the dominant/giver in non-domination/submission scenes, or implied by things such as [[penetration]] or other actions, unless it is being done in a dominant role of a Domination/submission situation.

h4.Related Tags:

* [[bdsm]]
* [[dominant]]
** [[dominant_ambiguous]]
** [[dominant_female]]
** [[dominant_intersex]]
*** [[dominant_andromorph]]
*** [[dominant_gynomorph]]
*** [[dominant_herm]]
*** [b]dominant_maleherm[/b]
** [[dominant_male]]
* [[submissive]]
** [[submissive_ambiguous]]
** [[submissive_female]]
** [[submissive_intersex]]
*** [[submissive_andromorph]]
*** [[submissive_gynomorph]]
*** [[submissive_herm]]
*** [[submissive_maleherm]]
** [[submissive_male]]

* [[dominant_anthro]]
* [[dominant_feral]]
* [[dominant_human]]
* [[dominant_humanoid]]
* [[dominant_taur]]
* [[submissive_anthro]]
* [[submissive_feral]]
* [[submissive_human]]
* [[submissive_humanoid]]
* [[submissive_taur]]

* [[dominant_pov]]
* [[submissive_pov]]
"
dark_magician,"thumb #173533

[b]Dark Magician[/b], known as [b]Black Magician[/b] (ブラック・マジシャン, Burakku Majishan) in the Japanese versions, is a character and [[duel monster]] in the [[Yu-Gi-Oh!]] games and anime franchise along with being one of its most iconic monsters. He is the quintessential component of the [b]Dark Magician Archetype[/b] deck, for which the archetype is named after and centers around.

Unlike his student/lover [[Dark Magician Girl]], Dark Magician's appearance has changed numerous times over the years as the anime and game has evolved. Dark Magician is usually depicted as a lean young man with long blonde hair and an angular face with a calm expression. He wears a dark colored robe over a bodysuit with light armor around his arms and legs, shoulder pads, a pointy hat, and a cowl. In his hand he holds a long scepter with a sharp end and a crystal ball on the end of it. Dark Magician's outfit has a motif of layering and spiraling which is present in almost every single article of clothing and item he carries.

Dark Magician has gone through numerous pallet swaps. His original design was peach skin, purple hair, and purple clothing, with a green scepter. Since then his skin has been green, brown, blue, white. His hair has been blonde or white. His clothing has been blue, black or red. His scepter has been green or colored to match his clothes.

Dark Magician is a Level 7, Dark-Attribute, Spellcaster/Normal Monster. By default it has 2500 Attack Points and 2100 Defense Points. It requires two monster card to be tributed to her before it can be normal summoned. It facilitates the summoning and use of numerous other Dark Spellcaster Cards such as Dark Sage, Dark Magician Girl, The Magician of Black Chaos, Dark Paladin, and Dark Magician Knight.

According to the protagonist of the original [[Yu-Gi-Oh!]], [[Yugi Muto]], Dark Magician is his most favorite, most powerful, and most rare card in his entire deck and his most frequently played card throughout the series."
hand_under_clothes,"thumb #319776 thumb #997566 thumb #2228593

Images or animations depicting a character with their hand underneath a character's [[clothing]]. This is typically for the purposes of different kinds of [[grope|groping]].

h4. See also
* [b]hand_under_clothing[/b]
** [[hand_under_topwear]]
* [[shirt_lift]]
* [[upskirt]]"
she's_a_bit_sluggish,"[quote]A simple story of a date between a copper robot weeb and a beleaguered slug girl. Nothing can possibly go wrong.[/quote]

A short, free visual novel created by Cavemanon Studios featuring their original characters.

Itch.io page: - https://cavemanon.itch.io/shes-a-bit-sluggish"
calua_(naivete),"Name and/or Last name: “Mind your own business”
Surname: Calua, « Curious and cynical asshole », “Naivete”
Gender: Men? Who knows!
Age : ∞ + 5 years, yes, really!
Species: Subconscious
Height: 1m76?
Weight: 68kg?
Behaviour: Makes fun of a little bit of everything but stay nice. Play a lot on the second degree and the irony. Loves to break the fourth wall!
Background Story: Calua is part of the Subconscious race. By temporarily erasing his memory voluntarily and giving himself a fictitious appearance. He inserted himself into the story ""The epics of Rei"", because he wanted to live a story, he met Rei, Adréa and a lot of other characters, he quickly became friend with them! But one day, his siblings found him and want to put him away from his friends. With rage and a feelings of unfair, he fused Rei and Adréa but he did a big mistakes… To punish him for his insolence, the Subconscious’s head decide to make him suffer, to make him understand that as a Subconscious, he’s not allowed to have friends and just do his job
Relationship: Like Reidréa and Henry’s food, Like to do jokes with Camille, Don’t care about the rest, fear Idées Noires but understands its pain.
Sexual orientation: North-West
"
tanzanite,Owns the character [[tanzanite_(character)]].
